rep_number	timepoint	trial_letter	tube_length
1	30	A	85.715
1	30	A	97.151
1	30	A	82.45
1	30	A	135.589
1	30	A	107.236
1	30	A	33.375
1	30	A	60.971
1	30	A	79.482
1	30	A	64.196
1	30	A	78.939
1	30	A	79.413
1	30	A	49.457
1	30	A	90.519
1	30	A	110.708
1	30	A	62.947
1	30	A	86.417
1	30	A	131.205
1	30	A	106.626
1	30	A	128.112
1	30	A	105.605
1	30	A	77.148
1	30	A	28.711
1	30	A	59.998
1	30	A	120.743
1	30	A	70.827
1	30	A	103.23
1	30	A	99.639
1	30	A	83.838
1	30	A	71.203
1	30	A	46.069
1	30	A	52.319
1	30	A	20.911
1	30	A	24
1	30	A	96.994
1	30	A	50.838
1	30	A	102.38
1	30	A	98.228
1	30	A	49.672
1	30	A	72.997
1	30	A	62.612
1	30	A	72.896
1	30	A	86.722
1	30	A	58.957
1	30	A	57.542
1	30	A	58.597
1	30	A	51.194
1	30	A	92.878
1	30	A	90.096
1	30	A	98.909
1	30	A	103.192
1	30	A	115.459
1	30	A	149.746
1	30	A	82.796
1	30	A	72.664
1	30	A	73.359
1	30	A	89.059
1	30	A	77.614
1	30	A	46.785
1	30	A	76.606
1	30	A	87.604
1	30	A	105.443
1	30	A	102.162
1	30	A	57.245
1	30	A	91.026
1	30	A	66.482
1	30	A	109.102
1	30	A	102.88
1	30	A	77.887
1	30	A	45.644
1	30	A	67.192
1	30	A	142.277
1	30	A	70.599
1	30	A	104.82
1	30	A	62.232
1	30	A	79.317
1	30	A	59.312
1	30	B	80.338
1	30	B	97.32
1	30	B	78.201
1	30	B	82.636
1	30	B	79.149
1	30	B	62.319
1	30	B	70.608
1	30	B	63.959
1	30	B	93.07
1	30	B	75.436
1	30	B	72.434
1	30	B	64.698
1	30	B	51.733
1	30	B	68.089
1	30	B	61.34
1	30	B	67.323
1	30	B	72.716
1	30	B	87.085
1	30	B	58.403
1	30	B	66.4
1	30	B	80.393
1	30	B	80.308
1	30	B	71.011
1	30	B	66.513
1	30	B	72.443
1	30	B	76.265
1	30	B	97.062
1	30	B	71.372
1	30	B	77.757
1	30	B	68.509
1	30	B	62.395
1	30	B	70.801
1	30	B	65.616
1	30	B	74.14
1	30	B	59.848
1	30	B	73.346
1	30	B	63.617
1	30	B	69.335
1	30	B	65.158
1	30	B	58.402
1	30	B	68.684
1	30	B	65.501
1	30	B	46.866
1	30	B	91.313
1	30	B	61.501
1	30	B	68.466
1	30	B	69.359
1	30	B	74.515
1	30	B	67.166
1	30	B	77.651
1	30	B	87.427
1	30	B	73.677
1	30	B	63.347
1	30	B	70.259
1	30	B	57.363
1	30	B	60.989
1	30	B	71.756
1	30	B	71.072
1	30	B	57.649
1	30	B	49.401
1	30	B	67.171
1	30	B	50.565
1	30	B	47.938
1	30	B	58.197
1	30	B	25.263
1	30	B	71.311
1	30	B	56
1	30	B	74.296
1	30	B	67.92
1	30	B	78.36
1	30	B	88.723
1	30	B	95.761
1	30	B	71.028
1	30	B	61.31
1	30	B	85.809
1	30	B	61.504
1	30	B	70.239
1	30	B	79.891
1	30	B	54.461
1	30	B	55.011
1	30	B	57.124
1	30	B	90.789
1	30	B	74.91
1	30	B	78.796
1	30	B	47.544
1	30	B	67.02
1	30	B	88.641
1	30	B	76.181
1	30	B	61.836
1	30	B	90.422
1	30	B	82.561
1	30	B	90.866
1	30	B	83.655
1	30	B	90.636
1	30	B	63.073
1	30	B	73.849
1	30	B	64.541
1	30	B	61.58
1	30	B	49.302
1	30	B	70.915
1	30	B	82.476
1	30	B	70.491
1	30	B	87.477
1	30	B	52.902
1	30	B	88.534
1	30	B	86.251
1	30	B	68.912
1	30	B	70.721
1	30	B	59.581
1	30	B	96.57
1	30	B	81.939
1	30	B	76.2
1	30	B	99.982
1	30	B	66.258
1	30	C	102.898
1	30	C	93.529
1	30	C	38.071
1	30	C	22.037
1	30	C	82.13
1	30	C	81.566
1	30	C	53.429
1	30	C	28.05
1	30	C	69.081
1	30	C	80.058
1	30	C	89.504
1	30	C	105.387
1	30	C	78.709
1	30	C	40.918
1	30	C	93.336
1	30	C	88.002
1	30	C	85.185
1	30	C	84
1	30	C	101.038
1	30	C	67.748
1	30	C	86.218
1	30	C	82.734
1	30	C	78.481
1	30	C	59.033
1	30	C	90.921
1	30	C	106.285
1	30	C	68.275
1	30	C	78.688
1	30	C	89.975
1	30	C	86.258
1	30	C	93.822
1	30	C	108.071
1	30	C	81.921
1	30	C	132.668
1	30	C	58.546
1	30	C	117.398
1	30	C	86.22
1	30	C	89.882
1	30	C	101.339
1	30	C	98.749
1	30	C	62.42
1	30	C	103.302
1	30	C	110.525
1	30	C	67.558
1	30	C	64.792
1	30	C	111.709
1	30	C	82.695
1	30	C	105.663
1	30	C	61.032
1	30	C	81.238
1	30	C	82.097
1	30	C	100.862
1	30	C	114.207
